env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums,controlGraph,robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,17.9,-5.8,1.56187,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,9.6,2.5,1.8,7.8,0.294444,5.6,7.8,10,10,2.6,1.8,1.8,2.5,6.22667,8.75,10,10,4.55588,2.02667,1.99556,4.37333
open_space,17.2,-2.4,4.47693,0,0,3,,,11.9,4.9,2.6,2.5,0.411111,4.9,2.6,2.5,2.3,2.2,2.6,9.3,10,6.77059,3.28,2.59333,2.74444,2.28,4.23333,9.65,10
open_space,13.3,-18.5,4.10151,0,0,3,,,8.6,1.2,7.4,1.2,0.369444,1.2,1.2,2.1,6.5,10,10,7.4,1.5,1.26222,1.47333,4.71556,7.65854,10,10,8.4,2.72889
open_space,11.3,-1.2,1.11268,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,4.3,1,3.2,1.1,0.394444,1,1.1,2.2,10,10,9.4,3.2,1.1,1.02,1.4,4.09048,10,10,9.7,7.66222,1.67333
open_space,4.7,-5.6,2.27404,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,9.9,4.5,5.4,4.5,0,4.5,4.5,5.9,10,10,8.5,5.4,5.4,5.28889,4.86,7.49167,10,10,9.11429,6.34889,5.83556
open_space,16.6,-12,2.25619,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14,10,3.1,7.8,0,10,10,7.8,5,3.1,3.1,4,10,10,10,8.54706,7.25111,3.68667,3.32222,5.83636,10
open_space,17.9,-4.9,6.04752,0,0,3,,,5.6,1.8,3.5,2.1,0.294444,1.8,2.1,4.7,5.5,10,10,3.5,1.9,1.86,3.29333,4.88,7.10323,10,10,5.54762,2.35778
open_space,18.9,-8.9,4.26666,0,0,3,,,10.9,2.4,9.2,0.8,0.416667,2.4,0.9,0.8,0.8,1.8,9.2,10,10,4.54667,1.30667,0.813333,1.12889,6.31333,9.57273,10,10
open_space,13.7,-1.6,4.49227,0,0,3,,,12.4,10,1.6,2.6,0.344444,10,6.2,2.6,1.4,1.4,1.6,6.2,10,10,7.44,5.10667,1.80889,1.45111,2.76222,7.52,10
open_space,8.5,-6,2.54529,0,0,3,,,14.2,5.9,5.8,8.4,0,8.3,8.4,10,10,10,7.1,5.8,5.9,8.73333,9.0625,10,10,10,8.265,6.10444,7.24667
open_space,2.2,-17.7,3.15248,0,0,3,,,4.8,2,2.8,2,0.516667,2,2,2,2.8,10,10,2.8,2,2.23556,2.23111,2.23556,4.87059,10,10,4.82059,2.23111
open_space,10.8,-8.2,1.01108,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,17.1,8,8.9,8.2,0,8,8.2,10,10,10,10,8.9,9.1,8.35111,8.912,10,10,10,10,9.1675,9.57
open_space,17.6,-5.4,1.76265,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.4,3.7,2.1,9.3,0.252778,5.3,9.3,10,10,2.6,2.1,2.1,3.7,6.50889,9.65,10,10,4.46591,2.20222,2.62444,5.06
open_space,6,-16.6,0.0592653,0,0,3,,,13.1,4.6,3.1,7.9,0,10,10,7.9,5.8,4.2,3.1,3.1,4.6,10,10,8.80769,6.36,5.65333,3.39778,3.56,6.4625
open_space,13.8,-3.4,3.6634,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,13.7,10,3.2,6.1,0,10,10,6.1,5.9,3.3,3.2,3.7,10,10,10,7.49744,6.10222,4.31556,3.30444,5.5119,10
open_space,15.6,-8.1,1.96332,0,0,3,,,14.4,7.9,4.1,10,0,8.5,10,10,10,4.5,4.1,4.4,7.9,9.16875,10,10,10,6.1814,4.20444,6.14444,8.10889
