Episode:  1245 | Steps:  93 | Reward:   123.08 | A_Loss: -21.5692 | C_Loss: 10.4705
Episode:  1246 | Steps:  93 | Reward:   105.82 | A_Loss: -21.5993 | C_Loss: 9.9796
Episode:  1247 | Steps: 248 | Reward:  -124.45 | A_Loss: -21.6866 | C_Loss: 10.0672
Episode:  1248 | Steps: 173 | Reward:  -155.74 | A_Loss: -21.7596 | C_Loss: 10.1139
Episode:  1249 | Steps: 151 | Reward:   168.63 | A_Loss: -21.8472 | C_Loss: 9.6801
💾 [Checkpoint 已更新] 最新模型 -> /home/nankai/formation_test/data/MADDPG_Formation_1de061_2026-03-12_13-30-28/latest_checkpoint
Episode:  1250 | Steps:  39 | Reward:    28.67 | A_Loss: -21.9920 | C_Loss: 9.7736
Episode:  1251 | Steps: 138 | Reward:   180.13 | A_Loss: -21.9535 | C_Loss: 9.6779
Episode:  1252 | Steps:  98 | Reward:    89.66 | A_Loss: -21.9879 | C_Loss: 9.7571
Episode:  1253 | Steps:  55 | Reward:    68.04 | A_Loss: -22.0376 | C_Loss: 9.7651
Episode:  1254 | Steps: 358 | Reward:  -225.91 | A_Loss: -22.0749 | C_Loss: 10.1293
Episode:  1255 | Steps: 236 | Reward:   204.41 | A_Loss: -22.1607 | C_Loss: 10.0415
Episode:  1256 | Steps: 143 | Reward:   204.14 | A_Loss: -22.2173 | C_Loss: 10.0584
Episode:  1257 | Steps: 204 | Reward:   179.13 | A_Loss: -22.1885 | C_Loss: 10.2273
Episode:  1258 | Steps: 184 | Reward:  -118.21 | A_Loss: -22.3170 | C_Loss: 10.0997
Episode:  1259 | Steps: 145 | Reward:    23.37 | A_Loss: -22.3524 | C_Loss: 10.5972
